Ticker,Final Value,Total Return,Sharpe Ratio,Max Drawdown
BHARTIARTL.NS,2.840948626963286,1.3268692666949633,0.7341629367832316,-0.3334532667374247
SBIN.NS,2.7773898308240925,1.3444086724153896,0.6985110166387153,-0.5949247979236443
MARUTI.NS,1.0,0.0,0.0,0.0
AXISBANK.NS,1.0,0.0,0.0,0.0
TCS.NS,0.8764208729310949,-0.08336639378555966,-0.11154618912084384,-0.2873990446467407
HDFCBANK.NS,0.9265035205031957,-0.06209956495288105,-0.15316016426146783,-0.14672917467193425
TITAN.NS,0.6389690108089905,-0.29946316093107095,-0.22935239652530037,-0.6872014225692207
HINDUNILVR.NS,0.5947841002050271,-0.36456273849704357,-0.27495835719353995,-0.5938500407186735
KOTAKBANK.NS,0.43955703029800797,-0.5908782589358754,-0.3632454729503599,-0.661758765630547
WIPRO.NS,0.4124433454049976,-0.6771118731135332,-0.4405821723020071,-0.8178022107607803
ITC.NS,0.39139180974445437,-0.7622065216841625,-0.5359530632418152,-0.802335881764294
ICICIBANK.NS,0.3186303668836878,-0.9155833976786979,-0.5656108069665965,-0.8151274396192272
INFY.NS,0.46756667401944274,-0.6619154480189884,-0.6224644819137537,-0.573249877084014
RELIANCE.NS,0.26207529570534416,-1.092262712922885,-0.6518799572814733,-0.777553690005289
NESTLEIND.NS,0.801805096346104,-0.21254022723080146,-0.6896233774653389,-0.21332168366714488
BAJFINANCE.NS,0.1415394075682077,-1.5393887609328936,-0.7038108185719624,-0.8915595352885424
HCLTECH.NS,0.4241389759301497,-0.761337803977241,-0.7246197838500552,-0.6005416933315235
SUNPHARMA.NS,0.5529585991159277,-0.5452301022084259,-0.7433915915376336,-0.47175735856467993
ULTRACEMCO.NS,0.3991488321370989,-0.8285551926810636,-0.8179696863036195,-0.6098445270442122
LT.NS,0.2666947097803993,-1.2372151523150727,-1.264352393355006,-0.7346442520862785
